WHO_region,Country_name_en,ISO3_code
AMR,Guyana,GUY
AMR,Honduras,HND
EUR,Croatia,HRV
AMR,Haiti,HTI
EUR,Hungary,HUN
SEAR,Indonesia,IDN
SEAR,India,IND
EUR,Ireland,IRL
EMR,Iran (Islamic Republic of),IRN
EMR,Iraq,IRQ
EUR,Iceland,ISL
EUR,Israel,ISR
EUR,Italy,ITA
AMR,Jamaica,JAM
EMR,Jordan,JOR
WPR,Japan,JPN
EUR,Kazakhstan,KAZ
AFR,Kenya,KEN
EUR,Kyrgyzstan,KGZ
WPR,Cambodia,KHM
WPR,Kiribati,KIR
AMR,Saint Kitts and Nevis,KNA
WPR,"Korea, Republic of",KOR
EMR,Kuwait,KWT
WPR,Lao People's Democratic Republic,LAO
EMR,Lebanon,LBN
AFR,Liberia,LBR
EMR,Libyan Arab Jamahiriya,LBY
AMR,Saint Lucia,LCA
SEAR,Sri Lanka,LKA
AFR,Lesotho,LSO
EUR,Lithuania,LTU
EUR,Luxembourg,LUX
EUR,Latvia,LVA
EMR,Morocco,MAR
EUR,Monaco,MCO
EUR,Moldova,MDA
AFR,Madagascar,MDG
SEAR,Maldives,MDV
AMR,Mexico,MEX
WPR,Marshall Islands,MHL
EUR,"Macedonia, the former Yugoslav Republic of",MKD
AFR,Mali,MLI
EUR,Malta,MLT
SEAR,Myanmar,MMR
EUR,Montenegro,MNE
WPR,Mongolia,MNG
AFR,Mozambique,MOZ
AFR,Mauritania,MRT
AFR,Mauritius,MUS
AFR,Malawi,MWI
WPR,Malaysia,MYS
AFR,Namibia,NAM
AFR,Niger,NER
AFR,Nigeria,NGA
AMR,Nicaragua,NIC
WPR,Niue,NIU
EUR,Netherlands,NLD
EUR,Norway,NOR
SEAR,Nepal,NPL
WPR,Nauru,NRU
WPR,New Zealand,NZL
EMR,Oman,OMN
EMR,Pakistan,PAK
AMR,Panama,PAN
AMR,Peru,PER
WPR,Philippines,PHL
WPR,Palau,PLW
WPR,Papua New Guinea,PNG
EUR,Poland,POL
SEAR,"Korea, Democratic People's Republic of",PRK
EUR,Portugal,PRT
AMR,Paraguay,PRY
EMR,"Palestine, the State of",PSE
EMR,Qatar,QAT
EUR,Romania,ROU
EUR,Russian Federation,RUS
AFR,Rwanda,RWA
EMR,Saudi Arabia,SAU
EMR,Sudan,SDN
AFR,Senegal,SEN
WPR,Singapore,SGP
WPR,Solomon Islands,SLB
AFR,Sierra Leone,SLE
AMR,El Salvador,SLV
EUR,San Marino,SMR
EMR,Somalia,SOM
EUR,Serbia,SRB
EMR,South Sudan,SSD
AFR,Sao Tome and Principe,STP
AMR,Suriname,SUR
EUR,Slovakia,SVK
EUR,Slovenia,SVN
EUR,Sweden,SWE
AFR,Swaziland,SWZ
AFR,Seychelles,SYC
EMR,Syrian Arab Republic,SYR
AFR,Chad,TCD
AFR,Togo,TGO
SEAR,Thailand,THA
EUR,Tajikistan,TJK
EUR,Turkmenistan,TKM
SEAR,Timor-Leste,TLS
WPR,Tonga,TON
AMR,Trinidad and Tobago,TTO
EMR,Tunisia,TUN
EUR,Turkey,TUR
WPR,Tuvalu,TUV
AFR,"Tanzania, United Republic of",TZA
AFR,Uganda,UGA
EUR,Ukraine,UKR
AMR,Uruguay,URY
AMR,United States,USA
EUR,Uzbekistan,UZB
AMR,Saint Vincent and the Grenadines,VCT
AMR,Venezuela (Bolivarian Republic of),VEN
WPR,Viet Nam,VNM
WPR,Vanuatu,VUT
WPR,Samoa,WSM
EMR,Yemen,YEM
EUR,Serbia and Montenegro (pre-cession),YUG
AFR,South Africa,ZAF
AFR,Zambia,ZMB
AFR,Zimbabwe,ZWE
